"fid","CAT_LU","PA","PA_norm","FR.analysis.5_NP","FR.analysis.5_FR","Fragmentation","proximity.analysis.5_PI","Proximity","LC_EVAPO_Evapotranspirating","LC_analysis_ET_score","ET_score_2","SuitKey2","compat_key","unique_compat_Compatibility","Suitability.matrix_2_PLU"
1661,"Farmlands",0.930346117743384,0.0313904189900855,24,1.514,3,0.05092,"Low",100,58,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1667,"Parks and public gardens",0.702304697425092,0.0236961688670793,33,1.726,3,0.520593,"High",84.34,57.2188,"C","Parks and public gardens_C_3_High","Parks and public gardens_Urban Gardens_C","true","Urban Gardens"
1681,"Parks and public gardens",0.548846103040919,0.0185183866594929,23,1.504,3,0.143293,"High",84.57,54.1248,"C","Parks and public gardens_C_3_High","Parks and public gardens_Urban Gardens_C","true","Urban Gardens"
1693,"Farmlands",1.19808802051933,0.0404241864762395,36,1.778,3,0.078515,"High",100,58.3366,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1697,"Woods and shrubs",0.164947959974455,0.00556544008343589,36,1.812,3,0.109568,"High",100,70,"C","Woods and shrubs_C_3_High","Woods and shrubs_Urban Gardens_C","true","Urban Gardens"
1701,"Farmlands",0.161059844529862,0.00543425280747493,31,1.7,3,0.07011,"High",100,58.15,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1705,"Farmlands",0.00364303529247409,0.00012291812911931,35,1.795,3,0.213225,"High",97.48,56.5384,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1711,"Woods and shrubs",0.663154957780824,0.0223752338867011,28,1.614,3,0.051403,"Low",100,69.3346,"C","Woods and shrubs_C_3_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
1713,"Farmlands",11.2251977324854,0.378744698719176,9,0.826,2,0.034983,"Low",99.04,57.5794,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1721,"Farmlands",0.180441755889123,0.00608820976692531,25,1.562,3,0.23724,"High",95.36,61.0304,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1726,"Woods and shrubs",0.0908247098838503,0.0030644785242103,9,1.202,2,0.056298,"Low",80.47,56.329,"C","Woods and shrubs_C_2_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
1754,"Farmlands",0.0555093599713407,0.00187291808300154,14,1.316,2,0.137255,"High",98.19,62.8416,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1766,"Farmlands",0.358111667619444,0.0120828959001614,18,1.397,3,0.216564,"High",85.99,50.2228,"B","Farmlands_B_3_High","Farmlands_Allotment gardens_B","true","Allotment gardens"
